Model,price,Link
"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14"" FHD Laptop",48500,https://www.startech.com.bd/acer-travelmate-tmp214-53-core-i3-11th-gen-fhd-laptop
"Acer Aspire Lite AL15-52 Core i3 12th Gen 16GB RAM 15.6"" FHD Laptop",53500,https://www.startech.com.bd/acer-aspire-lite-al15-52-core-i3-12th-gen-16gb-ram-fhd-laptop
"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",54550,https://www.startech.com.bd/walton-passion-bx310u-core-i3-10th-gen-laptop
"HP 250 G9 Core i3 12th Gen 15.6"" HD Laptop with 2 Year Warranty",54800,https://www.startech.com.bd/hp-250-g9-core-i3-12th-gen-laptop
ASUS Vivobook 15 X1504ZA i3 12th Gen 15.6 Inch FHD Laptop,54800,https://www.startech.com.bd/asus-vivobook-15-x1504za-fhd-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 15.6"" FHD Laptop",54900,https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-fhd-laptop
"Infinix INBook Y2 Plus Core i5 11th Gen 15.6"" FHD Laptop",54990,https://www.startech.com.bd/infinix-inbook-y2-plus-core-i5-11th-gen-fhd-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",55000,https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-11th-gen-fhd-laptop
"HP 250 G8 Core i3 11th Gen 15.6"" 4GB RAM 1TB HDD with windows Laptop",55000,https://www.startech.com.bd/hp-250-g8-core-i3-11th-gen-full-hd-laptop
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 16GB RAM 15.6"" FHD Laptop",55000,https://www.startech.com.bd/lenovo-ideapad-slim-3i-15iau7-laptop
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop (For Business)",52000,https://www.startech.com.bd/dell-inspiron-15-3520-core-i3-fhd-laptop
"Lenovo V15 Gen 4 Note PC Core i3 13th Gen 15.6"" FHD Laptop",55500,https://www.startech.com.bd/lenovo-v15-gen-4-note-pc-i3-13th-gen-laptop
"HP 15s-fq5357TU Core i3 12th Gen 15.6"" FHD Laptop",55500,https://www.startech.com.bd/hp-15s-fq5357tu-core-i3-12th-gen-laptop
ASUS Vivobook 15 X1504ZA-NJ864W i3-1215U 15.6 Inch FHD Laptop,55900,https://www.startech.com.bd/asus-vivobook-15-x1504za-i3-1215u-fhd-laptop
"Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 15.6"" FHD Laptop",56000,https://www.startech.com.bd/acer-aspire-lite-al15-41-amd-ryzen-5-5500u-15-6-fhd-laptop
